1|0|1|3|8|u|0|_|a|1|3|8
1|0|4|0|0|u|0|_|a|4|0|0
1|0|3|9|0|u|0|_|a|3|9|0
1|0|3|5|5|u|0|_|a|3|5|5
1|0|3|1|9|u|0|_|a|3|1|9
1|0|3|2|1|u|0|_|a|3|2|1
1|0|2|6|2|u|0|_|a|2|6|2
1|0|3|2|8|u|0|_|a|3|2|8
1|0|2|9|3|u|0|_|a|2|9|3
1|0|6|5|8|u|0|_|a|6|5|8
1|0|6|6|0|u|0|_|a|6|6|0
1|0|3|0|1|u|0|_|a|3|0|1
1|0|6|6|6|u|0|_|a|6|6|6
1|0|3|2|8|u|0|_|a|3|2|8
1|0|4|2|4|u|0|_|a|4|2|4
1|0|7|1|2|u|0|_|a|7|1|2
1|0|1|6|9|u|0|_|a|1|6|9
1|0|3|3|1|u|0|_|a|3|3|1
1|0|7|1|6|u|0|_|a|7|1|6
1|2|2|0|8|u|0|_|a|2|2|0|8
1|0|4|0|3|u|0|_|a|4|0|3
